Player,Nation,Team,Position,Age,MP,Starts,Min,Gls,Ast,CrdY,CrdR,xG,xAG,PrgC,PrgP_x,PrgR_x,Gls_per90,Ast_per90,xG_per90,xAG_per90,GA90,Save%,CS%,PenSave%,SoT%,SoT/90,G/sh,Dist,Cmp,Cmp%,TotDist_x,ShortCmp%,MedCmp%,LongCmp%,KP,1/3_x,PPA,CrsPA,PrgP_y,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att_x,Lost_x,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att_y,Succ%,Tkld%,Carries,TotDist_y,PrgDist,1/3_y,CPA,Mis,Dis,Rec,PrgR_y,Fls,Fld,Off,Crs,Recov,Won,Lost_y,Won%
Caoimhín Kelleher,ie IRL,Liverpool,GK,26-162,10,10,900.0,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,1.20,67.6,40.0,100.0,N/a,N/a,N/a,N/a,289,75.7,6252,100.0,100.0,31.9,6,6,0,0,0,3,0.30,1,0.10,0,0,0,0,0,0,0,0,398,286,396,2,0,0,1,100.0,0.0,290,1131,616,0,0,1,0,275,0,0,3,0,0,18,1,0,100.0
Carlos Alcaraz,ar ARG,Everton,"FW,MF",22-155,12,5,580.0,1,2,4,0,1.3,1.5,15,37,17,0.16,0.31,0.21,0.23,N/a,N/a,N/a,N/a,100.0,100.0,0.00,9.7,13,100.0,221,100.0,100.0,100.0,4,4,1,1,6,1,9.00,0,0.00,0,0,0,0,0,0,0,1,17,0,1,8,9,2,2,0.0,100.0,12,112,98,1,0,0,0,12,1,1,0,0,1,2,1,0,100.0
Carlos Forbs,pt POR,Wolves,"MF,FW",21-046,10,1,239.0,0,0,2,0,0.1,0.0,10,8,28,0.00,0.00,0.05,0.01,N/a,N/a,N/a,N/a,0.0,0.0,0.00,19.1,60,65.9,788,76.5,73.1,20.0,2,2,3,1,8,5,1.89,1,0.38,8,5,6,2,3,0,3,1,121,3,23,39,60,13,12,58.3,41.7,75,468,321,3,8,7,4,85,28,2,1,0,9,11,1,3,25.0
Chadi Riad,ma MAR,Crystal Palace,DF,21-321,1,1,90.0,0,0,0,0,0.0,0.0,2,7,0,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,70,85.4,1411,85.7,92.7,61.5,8,8,1,0,7,0,0.00,0,0.00,5,2,3,1,0,0,0,2,90,5,41,49,1,0,0,N/a,N/a,58,318,232,0,0,1,0,69,0,1,0,0,0,4,2,4,33.3
Charlie Taylor,eng ENG,Southampton,DF,31-228,7,2,266.0,0,0,1,0,0.0,0.1,3,8,6,0.00,0.00,0.00,0.03,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,154,87.0,2691,94.0,89.5,70.6,8,8,2,1,8,2,0.68,1,0.34,7,5,6,1,5,3,2,3,219,21,93,91,36,1,2,100.0,0.0,91,386,155,3,0,1,1,133,6,2,2,0,9,7,4,2,66.7
Cheick Doucouré,ml MLI,Crystal Palace,MF,25-116,13,4,452.0,0,0,1,0,0.4,0.0,2,19,7,0.00,0.00,0.08,0.00,N/a,N/a,N/a,N/a,0.0,0.0,0.00,20.6,174,85.3,2909,89.4,89.7,80.0,17,17,3,0,19,9,1.79,3,0.60,16,8,11,6,4,0,4,11,263,11,56,165,45,4,5,40.0,40.0,133,581,280,7,1,4,7,160,7,7,7,0,1,31,5,5,50.0
Chiedozie Ogbene,ie IRL,Ipswich Town,FW,28-003,5,3,238.0,0,0,0,0,0.0,0.1,7,0,15,0.00,0.00,0.00,0.03,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,32,74.4,415,83.3,80.0,100.0,0,0,0,0,0,3,1.13,0,0.00,7,3,4,2,1,0,1,1,70,3,11,19,40,6,7,14.3,42.9,41,330,139,2,2,4,2,43,15,2,7,1,4,6,1,6,14.3
Christian Eriksen,dk DEN,Manchester Utd,MF,33-079,20,11,994.0,0,1,4,0,0.3,2.6,10,49,29,0.00,0.09,0.03,0.24,N/a,N/a,N/a,N/a,11.1,11.1,0.00,24.8,548,79.5,9150,91.9,80.3,49.1,53,53,8,2,49,45,4.07,6,0.54,19,9,24,13,13,4,9,7,778,24,160,376,246,13,3,0.0,100.0,424,1527,677,11,0,11,5,514,29,8,3,0,74,59,2,5,28.6
Christian Walton,eng ENG,Ipswich Town,GK,29-176,6,6,540.0,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.67,57.6,16.7,0.0,N/a,N/a,N/a,N/a,152,67.3,4170,100.0,97.2,36.8,1,1,0,0,0,2,0.33,0,0.00,0,0,1,1,0,0,0,0,242,224,241,1,0,0,0,N/a,N/a,122,572,305,0,0,0,0,117,0,0,1,0,0,5,2,0,100.0
Christopher Nkunku,fr FRA,Chelsea,FW,27-171,27,9,921.0,3,2,2,0,4.8,2.1,17,25,68,0.29,0.20,0.47,0.21,N/a,N/a,N/a,N/a,44.0,44.0,0.12,12.6,299,89.5,3928,91.6,92.2,100.0,26,26,7,0,25,34,3.32,4,0.39,12,8,8,2,9,2,7,7,448,10,52,183,217,52,27,37.0,51.9,280,1368,628,16,13,18,17,356,68,16,11,3,4,29,16,22,42.1
Conor Bradley,nir NIR,Liverpool,DF,21-299,15,4,533.0,0,1,3,0,0.6,0.5,26,25,27,0.00,0.17,0.10,0.08,N/a,N/a,N/a,N/a,33.3,33.3,0.00,14.3,358,83.8,5339,91.6,88.2,35.5,20,20,3,1,25,16,2.71,2,0.34,11,8,16,8,4,0,4,3,511,17,142,238,140,33,16,37.5,56.3,282,1730,1012,17,7,8,2,322,27,8,10,0,5,34,7,6,53.8
Conor Chaplin,eng ENG,Ipswich Town,"MF,FW",28-077,19,8,712.0,1,1,2,0,1.2,0.7,11,26,20,0.13,0.13,0.15,0.09,N/a,N/a,N/a,N/a,25.0,25.0,0.08,18.3,186,72.7,2998,80.9,79.2,40.0,20,20,7,2,26,21,2.66,1,0.13,12,5,13,7,8,1,7,3,314,7,57,158,104,12,7,57.1,42.9,148,759,403,7,0,11,3,215,20,11,6,0,9,25,2,9,18.2
Conor Townsend,eng ENG,Ipswich Town,DF,32-061,6,3,335.0,0,1,1,0,0.0,0.7,2,8,13,0.00,0.27,0.01,0.18,N/a,N/a,N/a,N/a,0.0,0.0,0.00,16.7,80,63.0,1418,82.1,74.5,29.2,7,7,2,2,8,5,1.34,1,0.27,11,8,11,3,8,6,2,4,172,28,87,50,38,5,0,N/a,N/a,53,278,136,2,0,2,2,75,13,2,4,0,12,8,6,4,60.0
Craig Dawson,eng ENG,Wolves,DF,34-363,15,10,971.0,0,0,2,0,0.5,0.0,6,20,5,0.00,0.00,0.05,0.00,N/a,N/a,N/a,N/a,20.0,20.0,0.00,8.5,484,86.6,9745,92.5,93.0,60.0,22,22,1,0,20,7,0.65,2,0.19,15,3,15,3,16,11,5,9,671,130,396,249,28,14,5,20.0,40.0,390,1819,938,1,0,2,0,443,5,6,5,2,0,35,21,11,65.6
Crysencio Summerville,nl NED,West Ham,"FW,MF",23-186,19,7,786.0,1,1,2,0,1.6,1.7,29,18,71,0.11,0.11,0.19,0.19,N/a,N/a,N/a,N/a,28.6,28.6,0.07,13.4,194,76.4,2881,84.5,88.7,50.0,13,13,12,5,18,35,4.01,1,0.11,13,7,9,6,13,4,9,0,372,9,47,147,181,38,39,33.3,46.2,207,1463,762,15,13,20,16,259,71,9,23,4,21,38,4,9,30.8
Daniel Bentley,eng ENG,Wolves,GK,31-295,1,1,90.0,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,100.0,100.0,N/a,N/a,N/a,N/a,N/a,20,58.8,552,100.0,100.0,30.0,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,35,30,35,0,0,0,0,N/a,N/a,18,102,32,0,0,0,0,14,0,0,0,0,0,1,2,0,100.0
Danilo,br BRA,Nott'ham Forest,"MF,FW",24-005,7,5,267.0,0,0,0,0,0.0,0.0,2,11,1,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,89,78.1,1435,84.3,83.7,60.0,13,13,0,0,11,7,2.37,2,0.68,6,3,4,2,2,1,1,3,140,8,50,78,13,0,6,50.0,50.0,49,217,61,0,0,6,0,83,1,1,0,0,3,18,1,1,50.0
Danny Ings,eng ENG,West Ham,"FW,MF",32-285,15,1,284.0,1,2,0,0,2.3,1.3,6,5,29,0.32,0.63,0.72,0.41,N/a,N/a,N/a,N/a,35.7,35.7,0.07,15.5,63,68.5,830,83.7,65.5,20.0,4,4,1,0,5,12,3.80,2,0.63,4,2,3,2,5,0,5,1,139,2,15,51,73,27,7,57.1,28.6,63,324,118,0,2,6,6,96,29,0,2,0,3,9,8,10,44.4
Danny Ward,wls WAL,Leicester City,GK,31-316,2,1,135.0,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,4.00,40.0,0.0,N/a,N/a,N/a,N/a,N/a,41,77.4,1162,100.0,100.0,55.6,2,2,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,55,40,55,0,0,0,1,0.0,100.0,44,176,107,0,0,0,0,35,0,0,0,0,0,1,0,0,N/a
David Brooks,wls WAL,Bournemouth,"FW,MF",27-300,26,8,832.0,2,0,3,0,2.2,1.7,25,27,75,0.22,0.00,0.24,0.18,N/a,N/a,N/a,N/a,45.5,45.5,0.09,16.8,245,74.2,3791,84.8,76.2,51.4,15,15,15,5,27,35,3.79,2,0.22,11,4,14,13,16,2,14,5,451,13,54,164,241,32,31,25.8,64.5,278,1853,812,22,8,27,11,306,75,8,15,0,44,44,7,10,41.2
Diego Carlos,br BRA,Aston Villa,DF,32-050,10,8,830.0,0,0,1,0,0.6,0.0,3,34,0,0.00,0.00,0.07,0.00,N/a,N/a,N/a,N/a,25.0,25.0,0.00,6.7,534,88.6,10941,91.4,94.2,65.1,23,23,1,0,34,4,0.43,0,0.00,8,3,6,2,13,7,6,5,674,86,331,330,15,6,2,100.0,0.0,419,2133,1162,3,0,1,2,481,0,11,1,1,0,36,11,10,52.4
Diego Gómez,py PAR,Brighton,MF,22-038,12,4,440.0,0,0,0,0,0.4,0.5,5,20,14,0.00,0.00,0.09,0.10,N/a,N/a,N/a,N/a,0.0,0.0,0.00,21.5,206,79.8,3195,85.8,84.1,52.2,12,12,5,1,20,14,2.86,3,0.61,17,10,18,9,11,0,11,7,342,18,79,184,83,5,12,50.0,50.0,161,582,254,3,0,6,9,203,14,7,2,1,9,30,7,3,70.0
Donyell Malen,nl NED,Aston Villa,FW,26-115,12,2,293.0,3,0,0,0,2.0,0.1,11,5,25,0.92,0.00,0.61,0.02,N/a,N/a,N/a,N/a,60.0,60.0,0.20,15.6,48,69.6,658,83.3,72.2,50.0,2,2,1,0,5,5,1.53,0,0.00,7,4,4,3,1,0,1,0,119,2,8,32,85,23,10,30.0,50.0,70,529,300,6,7,8,6,78,25,1,4,2,7,8,4,4,50.0
Eddie Nketiah,eng ENG,Crystal Palace,"FW,MF",25-339,25,8,880.0,1,1,5,1,4.3,1.5,37,17,65,0.10,0.10,0.44,0.15,N/a,N/a,N/a,N/a,33.3,33.3,0.03,14.4,165,75.0,2479,79.5,83.3,70.6,11,11,4,0,17,26,2.66,2,0.20,12,5,11,6,10,1,9,2,360,10,39,150,178,59,19,52.6,31.6,211,1536,807,22,13,30,15,256,65,25,23,3,5,21,18,31,36.7
Edmond-Paris Maghoma,eng ENG,Brentford,"MF,FW",23-361,8,0,119.0,0,0,0,0,0.1,0.1,4,13,4,0.00,0.00,0.09,0.08,N/a,N/a,N/a,N/a,0.0,0.0,0.00,23.8,76,90.5,1259,95.0,93.5,85.7,2,2,0,0,13,4,3.03,1,0.76,2,1,3,2,2,2,0,1,101,2,18,58,27,4,4,75.0,25.0,68,414,221,3,1,2,0,75,4,2,4,0,3,7,1,3,25.0
Emi Buendía,ar ARG,Aston Villa,"MF,FW",28-130,12,0,98.0,0,0,1,0,0.7,0.0,3,7,6,0.00,0.00,0.60,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,19.1,49,81.7,624,91.7,85.7,20.0,4,4,1,0,7,3,2.76,0,0.00,6,6,5,5,5,1,4,0,82,0,17,35,31,3,2,0.0,100.0,53,185,119,5,0,4,3,64,6,4,6,0,0,8,0,2,0.0
Emil Krafth,se SWE,Newcastle Utd,DF,30-275,9,2,288.0,0,0,0,0,0.0,0.1,3,7,1,0.00,0.00,0.01,0.03,N/a,N/a,N/a,N/a,0.0,0.0,0.00,14.6,104,80.0,1661,81.7,86.8,50.0,6,6,0,0,7,3,0.94,0,0.00,4,2,3,1,5,4,1,2,164,30,87,59,19,4,1,0.0,100.0,72,327,133,3,0,2,2,85,1,3,1,0,1,17,5,5,50.0
Enes Ünal,tr TUR,Bournemouth,"FW,MF",27-359,17,2,345.0,2,1,2,0,2.7,0.4,4,12,22,0.52,0.26,0.72,0.10,N/a,N/a,N/a,N/a,35.0,35.0,0.10,14.6,63,63.6,685,76.9,60.7,0.0,4,4,4,0,12,9,2.35,3,0.78,1,0,3,3,1,0,1,0,172,6,14,63,95,26,12,8.3,83.3,91,261,95,3,1,17,13,133,22,6,9,1,4,16,24,22,52.2
Ethan Nwaneri,eng ENG,Arsenal,"FW,MF",18-044,25,10,821.0,4,2,1,0,1.1,1.0,44,30,102,0.44,0.22,0.12,0.11,N/a,N/a,N/a,N/a,36.4,36.4,0.18,18.2,307,80.2,4430,91.9,76.9,51.4,16,16,13,6,30,22,2.41,3,0.33,11,7,18,11,8,2,6,2,496,3,43,160,298,40,55,58.2,30.9,334,2641,1243,23,16,21,17,362,102,8,5,6,51,33,4,7,36.4
Evan Ferguson,ie IRL,West Ham,FW,20-197,7,1,145.0,0,0,0,0,0.6,0.3,1,0,6,0.00,0.00,0.35,0.19,N/a,N/a,N/a,N/a,20.0,20.0,0.00,17.2,26,78.8,317,83.3,71.4,0.0,0,0,0,0,0,4,2.48,0,0.00,2,0,0,0,2,1,1,1,62,1,6,27,29,10,5,60.0,40.0,31,123,41,1,1,8,5,40,6,1,2,0,0,8,5,8,38.5
Evan Ferguson,ie IRL,Brighton,FW,20-197,13,2,246.0,1,0,0,0,0.5,0.4,2,1,9,0.37,0.00,0.20,0.15,N/a,N/a,N/a,N/a,20.0,20.0,0.00,17.2,26,78.8,317,83.3,71.4,0.0,0,0,0,0,0,4,2.48,0,0.00,2,0,0,0,2,1,1,1,62,1,6,27,29,10,5,60.0,40.0,31,123,41,1,1,8,5,40,6,1,2,0,0,8,5,8,38.5
Fabio Carvalho,pt POR,Brentford,"FW,MF",22-247,19,3,455.0,2,1,1,0,2.5,0.7,9,17,23,0.40,0.20,0.49,0.13,N/a,N/a,N/a,N/a,41.7,41.7,0.17,14.7,126,70.8,1755,83.0,71.1,38.9,11,11,5,1,17,10,1.97,1,0.20,13,9,13,7,6,1,5,3,247,4,44,91,113,22,14,14.3,71.4,137,698,356,3,0,13,8,145,23,5,10,1,10,30,2,6,25.0
Ferdi Kadioglu,tr TUR,Brighton,"DF,MF",25-209,6,5,385.0,1,0,1,0,0.4,0.2,1,15,27,0.23,0.00,0.10,0.04,N/a,N/a,N/a,N/a,25.0,25.0,0.25,15.1,144,82.3,2372,89.0,82.4,64.3,10,10,9,4,15,13,3.03,2,0.47,10,6,15,9,2,2,0,8,231,13,71,91,72,9,7,42.9,42.9,124,479,183,0,0,6,2,144,27,5,3,1,9,14,3,1,75.0
Filip Jørgensen,dk DEN,Chelsea,GK,23-018,6,6,540.0,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,1.50,71.4,16.7,0.0,N/a,N/a,N/a,N/a,158,83.6,2843,100.0,97.5,27.5,1,1,0,0,0,1,0.17,0,0.00,0,0,0,0,0,0,0,0,202,174,201,1,0,0,0,N/a,N/a,145,676,423,0,0,0,0,139,0,1,1,0,0,5,0,0,N/a
Fraser Forster,eng ENG,Tottenham,GK,37-048,7,7,630.0,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.14,69.0,14.3,0.0,N/a,N/a,N/a,N/a,168,84.8,3349,98.2,95.6,48.9,1,1,0,0,0,0,0.00,0,0.00,0,0,1,1,0,0,0,0,228,212,228,0,0,0,1,100.0,0.0,113,501,264,0,0,1,0,94,0,0,0,0,0,1,1,0,100.0
Gabriel Jesus,br BRA,Arsenal,FW,28-031,17,6,608.0,3,0,4,0,3.0,0.7,15,19,57,0.44,0.00,0.44,0.10,N/a,N/a,N/a,N/a,35.0,35.0,0.15,11.1,156,76.8,2030,80.5,87.2,66.7,10,10,9,1,19,18,2.66,4,0.59,10,6,9,5,10,1,9,4,299,9,28,108,165,48,22,40.9,45.5,179,953,432,6,11,13,13,217,57,14,10,9,7,28,9,18,33.3
George Hirst,sct SCO,Ipswich Town,FW,26-078,23,3,493.0,3,1,2,0,1.6,0.3,9,13,29,0.55,0.18,0.28,0.06,N/a,N/a,N/a,N/a,50.0,50.0,0.30,11.1,58,55.8,675,66.7,50.0,50.0,1,1,4,0,13,8,1.45,3,0.54,3,3,3,2,1,1,0,2,162,11,23,54,87,23,5,40.0,40.0,89,468,199,2,6,21,13,138,29,12,10,2,3,8,30,20,60.0
Gonçalo Guedes,pt POR,Wolves,"MF,FW",28-156,26,7,783.0,2,4,1,0,2.2,1.1,32,31,60,0.23,0.46,0.26,0.13,N/a,N/a,N/a,N/a,36.8,36.8,0.11,20.0,192,72.7,3194,83.8,76.0,44.8,13,13,17,5,31,23,2.64,8,0.92,14,4,15,12,9,0,9,5,375,4,43,165,180,28,20,25.0,55.0,230,1731,904,21,5,33,14,255,60,14,15,3,17,34,3,11,21.4
Hamza Choudhury,bd BAN,Leicester City,"MF,DF",27-215,4,1,131.0,0,0,0,0,0.0,0.4,4,3,6,0.00,0.00,0.00,0.27,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,72,85.7,991,94.0,79.3,50.0,10,10,1,1,3,3,2.05,0,0.00,1,1,3,2,4,2,2,5,100,4,19,61,20,3,4,75.0,25.0,63,246,130,2,2,1,0,71,6,1,0,0,5,2,0,0,N/a
Harrison Reed,eng ENG,Fulham,MF,30-097,12,0,109.0,0,0,2,0,0.2,0.1,1,4,7,0.00,0.00,0.21,0.07,N/a,N/a,N/a,N/a,66.7,66.7,0.00,21.7,39,70.9,550,87.5,76.5,40.0,1,1,1,0,4,1,0.89,0,0.00,6,3,3,2,1,0,1,1,78,2,11,28,40,5,2,0.0,50.0,31,95,27,1,0,2,2,38,7,6,2,0,6,10,1,2,33.3
Harry Amass,eng ENG,Manchester Utd,DF,18-049,3,2,166.0,0,0,0,0,0.0,0.0,5,4,12,0.00,0.00,0.01,0.01,N/a,N/a,N/a,N/a,0.0,0.0,0.00,29.6,77,82.8,906,91.4,76.0,25.0,3,3,0,0,4,5,2.71,0,0.00,4,1,3,2,3,0,3,1,121,7,39,37,46,2,3,66.7,33.3,61,307,178,4,1,6,4,64,12,2,3,1,4,10,5,1,83.3
Harry Clarke,eng ENG,Ipswich Town,DF,24-063,7,4,379.0,0,0,3,1,0.1,0.0,5,14,2,0.00,0.00,0.02,0.01,N/a,N/a,N/a,N/a,100.0,100.0,0.00,4.5,190,80.5,3442,91.6,87.5,57.5,21,21,1,0,14,1,0.24,0,0.00,5,3,6,3,5,4,1,4,268,18,100,122,47,2,2,50.0,50.0,118,555,222,7,0,4,2,163,2,5,1,0,5,17,10,4,71.4
Harry Toffolo,eng ENG,Nott'ham Forest,DF,29-258,4,1,137.0,0,0,1,0,0.0,0.0,0,2,4,0.00,0.00,0.01,0.00,N/a,N/a,N/a,N/a,0.0,0.0,0.00,28.5,47,70.1,653,93.8,62.5,14.3,1,1,0,0,2,0,0.00,0,0.00,5,3,4,1,2,2,0,2,88,9,32,22,34,2,0,N/a,N/a,17,57,23,0,0,0,0,30,4,1,0,0,4,2,1,0,100.0
Harvey Elliott,eng ENG,Liverpool,"MF,FW",22-030,14,0,199.0,0,1,1,0,0.7,0.9,7,26,23,0.00,0.45,0.33,0.39,N/a,N/a,N/a,N/a,18.2,18.2,0.00,16.7,156,81.3,2693,92.3,78.8,65.2,15,15,4,0,26,12,5.43,2,0.90,4,3,4,3,4,1,3,1,220,2,20,96,105,15,5,40.0,60.0,128,567,259,8,5,2,4,165,23,0,0,1,10,10,1,2,33.3
Hwang Hee-Chan,kr KOR,Wolves,"MF,FW",29-098,20,5,651.0,2,0,0,0,0.8,0.1,15,12,41,0.28,0.00,0.11,0.02,N/a,N/a,N/a,N/a,60.0,60.0,0.40,17.4,159,81.5,2061,87.0,85.1,80.0,7,7,4,2,12,9,1.24,1,0.14,6,4,6,4,9,0,9,2,262,9,41,99,124,24,14,14.3,85.7,151,928,426,5,7,14,10,174,41,6,8,0,8,27,3,9,25.0
Hákon Rafn Valdimarsson,is ISL,Brentford,GK,23-203,2,1,145.0,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,1.24,50.0,100.0,N/a,N/a,N/a,N/a,N/a,46,65.7,1445,100.0,100.0,41.5,2,2,0,0,0,2,1.24,0,0.00,0,0,0,0,0,0,0,0,72,60,71,1,0,0,0,N/a,N/a,44,191,80,0,0,0,0,36,0,0,0,0,0,1,1,0,100.0
Ian Maatsen,nl NED,Aston Villa,DF,23-055,26,8,957.0,1,2,2,0,0.8,2.7,27,41,91,0.09,0.19,0.07,0.25,N/a,N/a,N/a,N/a,29.4,29.4,0.06,22.4,531,81.9,8586,88.3,86.9,54.3,20,20,15,3,41,49,4.60,7,0.66,27,15,22,6,11,0,11,15,796,47,216,293,297,41,23,47.8,52.2,429,2216,1036,15,11,20,21,485,91,9,9,3,48,61,8,6,57.1
Ibrahim Sangaré,ci CIV,Nott'ham Forest,MF,27-153,9,3,295.0,0,1,2,0,0.0,0.4,0,14,2,0.00,0.31,0.01,0.12,N/a,N/a,N/a,N/a,100.0,100.0,0.00,32.0,131,80.4,1910,89.7,82.0,61.5,11,11,2,0,14,6,1.83,0,0.00,18,10,10,6,5,0,5,3,208,8,49,127,34,7,1,0.0,100.0,85,355,109,2,0,4,1,112,2,8,5,0,0,23,6,8,42.9
Igor,br BRA,Brighton,DF,27-086,12,9,903.0,0,0,4,0,0.0,0.2,9,44,0,0.00,0.00,0.00,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,14.1,628,92.1,11358,96.5,95.2,71.4,35,35,2,1,44,11,1.10,0,0.00,4,4,10,6,23,14,9,4,764,109,377,353,38,1,4,75.0,25.0,497,2837,1782,14,0,1,0,568,0,9,6,0,2,40,8,6,57.1
Jack Grealish,eng ENG,Manchester City,"FW,MF",29-236,19,7,720.0,1,1,3,0,1.1,1.8,69,52,118,0.12,0.12,0.14,0.23,N/a,N/a,N/a,N/a,33.3,33.3,0.07,16.3,381,87.6,5676,93.2,87.8,69.2,23,23,16,0,52,47,5.87,2,0.25,9,5,5,3,12,2,10,2,519,14,40,162,324,71,29,44.8,31.0,375,2879,1714,23,46,10,16,422,118,5,25,0,20,26,1,7,12.5
Jack Taylor,ie IRL,Ipswich Town,MF,26-315,29,3,766.0,1,0,3,0,0.7,0.5,11,41,21,0.12,0.00,0.08,0.06,N/a,N/a,N/a,N/a,23.5,23.5,0.06,23.0,306,82.3,5426,86.9,88.0,55.0,29,29,8,1,41,21,2.46,2,0.23,20,10,23,11,10,3,7,9,477,28,140,259,89,8,9,44.4,33.3,232,1414,755,10,1,10,6,303,21,16,4,0,6,48,7,7,50.0
Jaden Philogene Bidace,eng ENG,Aston Villa,"FW,MF",23-085,11,2,332.0,0,0,4,1,0.5,0.3,7,4,17,0.00,0.00,0.13,0.08,N/a,N/a,N/a,N/a,0.0,0.0,0.00,16.0,63,73.3,850,81.6,85.7,66.7,1,1,3,0,4,5,1.36,0,0.00,11,5,6,2,5,0,5,3,145,4,27,54,66,14,15,26.7,53.3,75,520,239,5,7,7,3,83,17,12,8,1,4,21,0,5,0.0
Jaden Philogene Bidace,eng ENG,Ipswich Town,"FW,DF",23-085,10,5,474.0,2,0,1,0,2.0,0.2,13,10,36,0.38,0.00,0.37,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.00,16.0,63,73.3,850,81.6,85.7,66.7,1,1,3,0,4,5,1.36,0,0.00,11,5,6,2,5,0,5,3,145,4,27,54,66,14,15,26.7,53.3,75,520,239,5,7,7,3,83,17,12,8,1,4,21,0,5,0.0
Jahmai Simpson-Pusey,eng ENG,Manchester City,DF,19-181,2,1,96.0,0,0,1,0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,107,93.0,1754,95.9,96.6,42.9,3,3,0,0,3,0,0.00,0,0.00,1,0,1,1,1,1,0,0,123,9,61,59,3,1,1,0.0,0.0,79,376,190,0,0,1,0,101,0,0,1,0,0,3,1,3,25.0
Jakub Kiwior,pl POL,Arsenal,DF,25-078,14,7,852.0,1,0,0,0,0.2,0.3,6,36,0,0.11,0.00,0.02,0.03,N/a,N/a,N/a,N/a,33.3,33.3,0.33,18.5,533,91.0,9289,94.6,95.1,54.5,47,47,3,0,36,7,0.74,0,0.00,13,7,11,3,8,5,3,3,658,66,214,391,53,4,4,75.0,25.0,377,1522,861,5,1,3,1,501,0,8,3,1,1,19,8,7,53.3
Jakub Stolarczyk,pl POL,Leicester City,GK,24-136,7,7,630.0,0,0,1,0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,1.71,61.3,14.3,N/a,N/a,N/a,N/a,N/a,177,68.3,4773,100.0,98.4,43.0,2,2,0,0,1,0,0.00,0,0.00,2,1,2,1,0,0,0,0,277,208,272,6,0,0,0,N/a,N/a,156,691,430,0,0,1,0,158,0,0,0,0,0,8,4,0,100.0
James Bree,eng ENG,Southampton,DF,27-205,15,11,895.0,0,1,0,0,0.1,0.9,10,31,34,0.00,0.10,0.01,0.09,N/a,N/a,N/a,N/a,25.0,25.0,0.00,22.7,440,83.8,7028,90.9,88.4,51.1,26,26,6,5,31,15,1.51,1,0.10,15,10,17,10,8,3,5,8,602,42,194,263,150,10,8,50.0,25.0,319,1407,713,11,0,6,4,389,34,2,4,0,24,56,12,5,70.6
James Hill,eng ENG,Bournemouth,DF,23-114,10,6,448.0,0,1,1,0,0.3,0.3,3,16,8,0.00,0.20,0.06,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.00,13.9,159,64.9,3098,76.1,77.3,36.2,20,20,6,0,16,8,1.61,1,0.20,15,8,11,8,5,0,5,9,319,19,99,167,54,8,2,50.0,50.0,146,552,295,6,0,2,0,179,8,7,5,0,10,13,14,12,53.8
James Mcatee,eng ENG,Manchester City,"MF,FW",22-198,14,2,304.0,3,0,1,0,2.8,0.3,7,6,26,0.89,0.00,0.83,0.10,N/a,N/a,N/a,N/a,33.3,33.3,0.25,14.3,86,78.9,1301,85.5,88.1,33.3,7,7,2,0,6,3,0.89,1,0.30,4,2,7,6,8,0,8,2,151,2,17,60,75,20,7,28.6,71.4,83,421,189,5,1,5,1,108,26,5,3,0,5,8,2,3,40.0
James Milner,eng ENG,Brighton,MF,39-120,3,3,169.0,0,0,1,0,0.2,0.2,1,10,10,0.00,0.00,0.09,0.12,N/a,N/a,N/a,N/a,0.0,0.0,0.00,16.0,55,75.3,899,92.9,76.7,40.0,3,3,1,1,10,8,4.26,0,0.00,5,2,3,0,4,2,2,2,92,3,13,48,31,4,1,100.0,0.0,46,223,97,1,0,0,0,58,10,3,1,0,8,2,0,1,0.0
