Player,Nation,Team,Position,Age,MP,Starts,Min,Gls,Ast,CrdY,CrdR,xG,xAG,PrgC,PrgP_x,PrgR_x,Gls_per90,Ast_per90,xG_per90,xAG_per90,GA90,Save%,CS%,PenSave%,SoT%,SoT/90,G/sh,Dist,Cmp,Cmp%,TotDist_x,ShortCmp%,MedCmp%,LongCmp%,KP,1/3_x,PPA,CrsPA,PrgP_y,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att_x,Lost_x,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att_y,Succ%,Tkld%,Carries,TotDist_y,PrgDist,1/3_y,CPA,Mis,Dis,Rec,PrgR_y,Fls,Fld,Off,Crs,Recov,Won,Lost_y,Won%
Wataru Endo,jp JPN,Liverpool,MF,32-084,17,0,169.0,0,0,0,0,0.0,0.0,0,9,2,0.00,0.00,0.00,0.01,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,90,92.8,1447,91.8,97.2,100.0,9,9,1,0,9,3,1.58,0,0.00,8,6,8,3,5,0,5,3,130,5,31,77,23,2,1,100.0,0.0,52,180,47,0,1,6,2,81,2,14,6,0,0,7,2,3,40.0
Welington,br BRA,Southampton,"DF,MF",24-074,7,3,215.0,0,0,1,0,0.0,0.0,3,6,10,0.00,0.00,0.02,0.01,N/a,N/a,N/a,N/a,0.0,0.0,0.00,31.3,69,77.5,1098,82.9,78.0,75.0,5,5,5,4,6,6,2.51,1,0.42,13,5,12,5,3,1,2,3,131,11,46,48,40,2,4,75.0,0.0,47,200,116,3,1,6,0,55,10,3,5,0,10,10,0,2,0.0
Wes Burns,wls WAL,Ipswich Town,"FW,DF",30-162,18,12,926.0,0,1,1,0,0.5,1.6,38,8,65,0.00,0.10,0.05,0.16,N/a,N/a,N/a,N/a,14.3,14.3,0.00,18.3,153,60.5,2416,80.4,65.4,38.9,8,8,8,7,8,16,1.55,1,0.10,13,11,10,6,7,2,5,10,350,21,69,129,160,18,24,37.5,58.3,216,1458,696,13,10,17,13,220,65,4,11,0,46,50,8,21,27.6
William Osula,dk DEN,Newcastle Utd,FW,21-273,12,0,104.0,1,0,0,0,0.1,0.1,2,2,12,0.87,0.00,0.10,0.08,N/a,N/a,N/a,N/a,33.3,33.3,0.33,14.5,11,61.1,126,61.5,50.0,N/a,0,0,1,0,2,2,1.73,0,0.00,1,0,2,2,0,0,0,4,41,1,2,17,22,4,6,50.0,50.0,25,151,55,1,0,5,5,27,12,2,1,1,1,2,4,1,80.0
William Smallbone,ie IRL,Southampton,MF,25-072,15,6,646.0,1,0,1,0,0.4,0.6,5,25,23,0.14,0.00,0.06,0.09,N/a,N/a,N/a,N/a,16.7,16.7,0.17,19.3,257,77.6,4218,87.1,85.0,38.8,11,11,3,2,25,15,2.09,0,0.00,18,11,21,14,8,0,8,2,401,15,76,198,131,14,6,66.7,33.3,182,774,391,9,1,11,5,243,23,11,3,0,34,23,4,2,66.7
Willian,br BRA,Fulham,"FW,MF",36-268,9,2,241.0,0,0,0,0,0.3,0.5,9,38,31,0.00,0.00,0.10,0.17,N/a,N/a,N/a,N/a,0.0,0.0,0.00,22.1,163,85.8,2905,94.2,86.1,73.7,18,18,10,2,38,15,5.60,0,0.00,3,1,5,4,0,0,0,1,211,1,17,76,122,6,6,16.7,50.0,139,935,460,9,2,3,1,168,31,1,0,0,13,14,1,2,33.3
Willy Boly,ci CIV,Nott'ham Forest,DF,34-090,6,1,150.0,0,0,1,0,0.1,0.0,0,2,0,0.00,0.00,0.04,0.00,N/a,N/a,N/a,N/a,100.0,100.0,0.00,10.2,55,78.6,1010,90.9,93.8,26.7,3,3,0,0,2,0,0.00,0,0.00,6,1,4,0,4,2,2,3,97,22,63,32,2,1,0,N/a,N/a,35,128,45,0,0,1,0,46,0,1,0,0,0,5,6,2,75.0
Wilson Odobert,fr FRA,Tottenham,FW,20-157,12,6,539.0,0,0,0,0,0.7,0.9,38,19,54,0.00,0.00,0.12,0.15,N/a,N/a,N/a,N/a,20.0,20.0,0.00,17.3,166,77.9,2170,92.1,70.4,55.6,6,6,10,3,19,12,2.01,1,0.17,8,2,10,5,4,0,4,3,291,4,28,103,162,31,28,39.3,50.0,209,1651,981,20,17,15,13,219,54,0,3,0,20,27,3,4,42.9
Woyo Coulibaly,fr FRA,Leicester City,DF,25-349,4,1,109.0,0,0,1,0,0.0,0.0,4,3,2,0.00,0.00,0.04,0.00,N/a,N/a,N/a,N/a,50.0,50.0,0.00,19.4,48,84.2,797,82.4,84.2,100.0,3,3,0,0,3,0,0.00,0,0.00,6,4,2,0,3,1,2,5,76,8,27,31,20,4,1,0.0,100.0,48,288,169,2,1,4,0,36,2,2,1,0,0,14,0,3,0.0
Yerson Mosquera,co COL,Wolves,DF,24-002,5,5,441.0,0,0,2,0,0.3,0.1,0,7,0,0.00,0.00,0.07,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,12.4,205,85.4,3996,90.4,93.5,62.9,16,16,1,1,7,5,1.02,0,0.00,11,7,14,5,13,10,3,10,294,43,170,115,12,7,0,N/a,N/a,168,683,322,1,0,4,1,182,0,6,7,1,2,24,11,6,64.7
Álex Moreno,es ESP,Nott'ham Forest,"DF,MF",31-330,15,11,955.0,0,1,2,0,0.2,1.3,26,34,34,0.00,0.09,0.02,0.12,N/a,N/a,N/a,N/a,0.0,0.0,0.00,23.7,308,72.0,4574,87.6,64.2,35.0,25,25,9,2,34,16,1.51,2,0.19,25,18,39,24,11,5,6,15,559,60,210,202,158,8,21,38.1,38.1,229,1470,864,16,4,13,6,258,34,12,6,0,19,50,3,11,21.4
